Country; Data Source; Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1979,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1978,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1977,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1976,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1975,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1974,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1973,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1972,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1971,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1970,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1969,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1968,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1967,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1966,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1965,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1964,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1963,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1962,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1961,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1960
Jamaica; Data source; All types,4.29,4.56,4.24,4.76,4.84,4.28,4.3,4.14,3.72,3.75,3.39,2.98,3.05,2.35,2.07,2.39,2.14,2.39,2.02,
Jamaica; Data source; Beer,1.84,2.27,2.12,2.39,2.7,2.41,2.55,2.46,2.12,2.14,1.95,1.62,1.47,1.4,1.26,1.08,0.91,1.03,0.9,
Jamaica; Data source; Wine,0,0,0,0,0.02,0.05,0.16,0.09,0.13,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.05,0.04,
Jamaica; Data source; Spirits,2.45,2.28,2.12,2.37,2.12,1.8,1.57,1.59,1.46,1.53,1.37,1.29,1.52,0.9,0.76,1.25,1.19,1.31,1.07,
Japan; Data source; All types,6.02,5.73,5.69,5.23,5.28,5.18,5.2,4.96,4.65,4.51,4.25,4.34,4.35,4.07,3.87,4.16,4.11,4.02,4.03,
Japan; Data source; Beer,2.39,2.28,2.24,1.96,2.08,1.96,2.1,1.94,1.75,1.72,1.62,1.45,1.49,1.31,1.23,1.27,1.13,0.99,0.99,
Japan; Data source; Wine,0.12,0.12,0.1,0.09,0.07,0.1,0.06,0.04,0.03,0.03,0.03,0.04,0.04,0.02,0.02,0.01,0.03,0.03,0.02,
Japan; Data source; Spirits,2.52,2.28,2.22,2.1,1.93,1.84,1.74,1.73,1.62,1.56,1.49,1.63,1.61,1.64,1.51,1.79,1.91,2.05,2.08,
Japan; Data source; Other alcoholic beverages,1.01,1.05,1.13,1.09,1.2,1.28,1.3,1.25,1.24,1.19,1.12,1.22,1.22,1.11,1.12,1.09,1.05,0.94,0.94,
Jordan; Data source; All types,0.59,0.49,0.38,0.33,0.22,0.18,0.17,0.15,0.12,0.14,0.18,0.22,0.16,0.18,0.14,0.13,0.15,0.14,0.14,
Jordan; Data source; Beer,0.3,0.25,0.2,0.15,0.14,0.11,0.1,0.08,0.07,0.08,0.08,0.08,0.07,0.09,0.07,0.07,0.07,0.06,0.06,
Jordan; Data source; Wine,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,
Jordan; Data source; Spirits,0.27,0.22,0.18,0.17,0.08,0.06,0.06,0.07,0.05,0.06,0.09,0.13,0.09,0.09,0.07,0.06,0.08,0.07,0.07,
Kenya; Data source; All types,3.95,4.29,4.35,4.3,4.28,4.39,4.38,3.98,4.11,4.13,3.77,3.81,3.98,3.92,3.25,3.45,3.42,3.4,3.36,
Kenya; Data source; Beer,1.92,2.17,2.22,2.18,2.18,2.27,2.34,2.22,2.2,2.21,2.03,2.22,2.4,2.36,2.04,2.15,2.12,2.14,2.1,
Kenya; Data source; Wine,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.05,0.02,0.02,0.03,0.02,0.02,
Kenya; Data source; Spirits,1.2,1.21,1.2,1.21,1.19,1.17,1.06,0.84,0.98,1,0.9,0.67,0.59,0.55,0.36,0.4,0.4,0.37,0.38,
Kenya; Data source; Other alcoholic beverages,0.79,0.88,0.91,0.89,0.89,0.93,0.95,0.9,0.9,0.9,0.83,0.9,0.98,0.96,0.83,0.88,0.87,0.87,0.86,
Kiribati; Data source; All types,1.32,1.13,1.17,1.08,1.06,1.89,1.11,1.23,0.96,0.94,0.65,0.87,0.77,0.67,0.55,0.57,0.48,0.39,0.38,
Kiribati; Data source; Beer,1,0.88,0.8,0.78,0.79,1.58,0.7,0.95,0.7,0.66,0.57,0.56,0.56,0.59,0.38,0.38,0.29,0.19,0.23,
Kiribati; Data source; Wine,0.04,0.03,0.03,0.04,0.04,0.04,0.06,0.06,0.06,0.04,0.03,0.04,0.02,0.01,0.07,0.03,0.02,0.02,0.02,
Kiribati; Data source; Spirits,0.28,0.22,0.34,0.26,0.23,0.27,0.35,0.23,0.2,0.25,0.06,0.27,0.19,0.07,0.1,0.17,0.17,0.17,0.13,
Kuwait; Data source; All types,0,0,0,0,0,0,0,0.1,0.12,0.11,0.12,0.09,0.09,0.09,0.06,0.02,0.02,0.02,0.02,
Kuwait; Data source; Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kuwait; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kuwait; Data source; Spirits,0,0,0,0,0,0,0,0.09,0.11,0.11,0.12,0.09,0.09,0.09,0.06,0.02,0.02,0.02,0.02,
Lao People's Democratic Republic; Data source; All types,3.5,3.54,3.85,4.17,4.19,4.43,4.18,3.98,3.91,4.14,3.91,3.96,4,3.54,3.3,2.99,2.9,2.82,3.03,
Lao People's Democratic Republic; Data source; Beer,0,0,0,0,0,0,0.04,0.05,0.03,0.13,0.11,0.06,0.04,0.04,0.05,0.04,0.05,0.09,0.08,
Lao People's Democratic Republic; Data source; Wine,0,0,0,0,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.02,
Lao People's Democratic Republic; Data source; Spirits,3.5,3.54,3.85,4.17,4.18,4.41,4.13,3.92,3.86,3.99,3.78,3.89,3.95,3.49,3.24,2.94,2.83,2.71,2.93,
Lebanon; Data source; All types,3.07,3.01,2.87,2.99,2.95,3.02,3.1,3.09,3.34,2.99,3.08,2.71,3.05,2.88,3.52,3.88,3.34,3.52,4.03,
Lebanon; Data source; Beer,0.43,0.41,0.37,0.41,0.37,0.39,0.35,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.29,0.3,0.31,0.31,
Lebanon; Data source; Wine,0.39,0.38,0.39,0.39,0.39,0.4,0.4,0.37,0.38,0.39,0.4,0.41,0.42,0.44,0.44,0.46,0.47,0.48,0.48,
Lebanon; Data source; Spirits,2.24,2.22,2.11,2.19,2.18,2.23,2.34,2.38,2.62,2.27,2.36,1.98,2.32,2.13,2.78,3.12,2.57,2.71,3.22,
Lesotho; Data source; All types,3.22,3.78,2.52,1.38,1.68,2.85,1.55,,2.16,1.93,1.71,1.9,1.94,2.19,2.19,2.31,2.12,2.13,2.16,
Lesotho; Data source; Beer,1.34,1.56,1,0.5,0.63,1.28,0.7,,0.97,0.87,0.77,0.86,0.87,0.99,0.99,1.04,0.95,0.96,0.97,
Lesotho; Data source; Wine,0.07,0.03,0.03,0.04,0.03,0,0,,0,0,0,0,0,0,0,0,0,0,0,
Lesotho; Data source; Spirits,0.18,0.28,0.27,0.24,0.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,
Lesotho; Data source; Other alcoholic beverages,1.63,1.91,1.22,0.61,0.77,1.57,0.85,,1.19,1.06,0.94,1.05,1.07,1.2,1.2,1.27,1.17,1.17,1.19,
Liberia; Data source; All types,3.89,3.85,3.8,3.67,3.72,3.42,2.95,2.76,2.75,2.45,2.17,2.01,1.91,1.89,1.53,1.71,1.63,1.86,1.61,
Liberia; Data source; Beer,0.84,0.73,0.7,0.6,0.63,0.59,0.44,0.42,0.44,0.35,0.36,0.37,0.42,0.53,0.37,0.21,0.38,0.55,0.35,
Liberia; Data source; Wine,0.04,0.06,0.07,0.06,0.05,0.11,0.08,0.08,0.13,0.08,0.05,0.05,0.05,0.08,0.03,0.08,0.01,0.07,0.02,
Liberia; Data source; Spirits,3.01,3.05,3.03,3.01,3.04,2.73,2.43,2.25,2.17,2.02,1.76,1.6,1.43,1.28,1.13,1.42,1.24,1.23,1.25,
Libya; Data source; All types,0,0,0,0,0,0,0,0,0.03,0.04,0.86,0.96,0.88,0.86,0.67,0.8,0.78,0.89,0.74,
Libya; Data source; Beer,0,0,0,0,0,0,0,0,0.03,0.04,0.36,0.44,0.34,0.32,0.24,0.26,0.24,0.24,0.22,
Libya; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0.37,0.39,0.4,0.4,0.32,0.44,0.43,0.55,0.52,
Libya; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0.12,0.13,0.13,0.14,0.12,0.1,0.1,0.1,0,
Luxembourg; Data source; All types,18.03,18.08,18.59,19.03,18.98,18.54,19.07,18.73,18.99,18.65,18.56,18.26,18.28,18.46,18.69,18.84,18.74,18.33,18.54,
Luxembourg; Data source; Beer,5.93,5.98,6.15,6.35,6.18,6.18,6.22,6.05,6.08,5.95,5.85,5.5,5.47,5.43,5.25,5.31,4.86,4.34,4.5,
Luxembourg; Data source; Wine,8.39,8.64,9.07,9.08,9.27,9.08,9.34,9.3,9.31,9.22,9.46,9.65,9.69,9.82,10,10.34,10.65,10.93,11.21,
Luxembourg; Data source; Spirits,3.71,3.45,3.37,3.61,3.53,3.27,3.51,3.38,3.6,3.48,3.26,3.1,3.11,3.21,3.44,3.19,3.22,3.06,2.83,
Madagascar; Data source; All types,1.58,1.85,1.72,1.77,1.78,1.64,1.86,1.74,1.92,1.88,1.95,2.04,1.95,2.13,2.38,3.06,3.37,3.12,3.16,
Madagascar; Data source; Beer,0.26,0.24,0.27,0.26,0.22,0.19,0.16,0.14,0.15,0.14,0.15,0.14,0.13,0.12,0.12,0.09,0.1,0.09,0.08,
Madagascar; Data source; Wine,0.19,0.32,0.33,0.27,0.36,0.21,0.43,0.38,0.55,0.52,0.58,0.69,0.57,0.58,0.69,0.74,0.77,0.89,0.96,
Madagascar; Data source; Spirits,1.12,1.28,1.12,1.25,1.21,1.24,1.27,1.22,1.22,1.22,1.23,1.21,1.26,1.43,1.57,2.23,2.5,2.14,2.12,
Malawi; Data source; All types,1.61,1.63,3.79,3.49,3.56,3.33,3.22,3.13,2.72,2.41,2.58,2.33,2.17,2.07,1.96,1.89,1.72,1.6,0.05,
Malawi; Data source; Beer,0.12,0.16,0.11,0.13,0.13,0.13,0.14,0.14,0.13,0.11,0.15,0.11,0.07,0.06,0.06,0.04,0.04,0.04,1.6,
Malawi; Data source; Wine,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,
Malawi; Data source; Spirits,0.25,0.2,0.22,0.23,0.18,0.13,0.13,0.08,0.08,0.08,0.09,0.06,0.05,0.03,0.01,0,0,0,0,
Malawi; Data source; Other alcoholic beverages,1.22,1.26,3.46,3.12,3.24,3.06,2.94,2.9,2.5,2.22,2.33,2.15,2.03,1.97,1.89,1.85,1.67,1.55,1.55,
Malaysia; Data source; All types,0.76,0.65,0.57,0.57,0.5,0.56,0.53,0.39,0.41,0.41,0.45,0.46,0.49,0.5,0.52,0.47,0.49,0.52,0.59,
Malaysia; Data source; Beer,0.55,0.47,0.41,0.4,0.36,0.4,0.33,0.25,0.27,0.27,0.3,0.31,0.32,0.34,0.34,0.29,0.31,0.34,0.4,
Malaysia; Data source; Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
Malaysia; Data source; Spirits,0.19,0.17,0.14,0.16,0.13,0.15,0.18,0.12,0.13,0.13,0.14,0.14,0.16,0.15,0.17,0.17,0.17,0.16,0.17,
Mali; Data source; All types,0.5,0.48,0.55,0.57,0.55,0.56,0.52,0.55,0.56,0.7,0.56,0.62,0.56,0.51,0.48,0.56,0.65,0.63,0.68,
Mali; Data source; Beer,0.01,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
Mali; Data source; Wine,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.06,
Mali; Data source; Spirits,0.02,0.04,0.06,0.07,0.05,0.06,0.06,0.08,0.06,0.07,0.06,0.05,0.03,0,0,0,0,0,0,
Mali; Data source; Other alcoholic beverages,0.46,0.4,0.45,0.47,0.46,0.46,0.42,0.44,0.46,0.59,0.48,0.55,0.5,0.48,0.45,0.53,0.61,0.6,0.61,
Malta; Data source; All types,5.73,5.8,5,5.32,4.25,4.06,3.88,2.89,3.28,3.65,2.9,2.55,2.81,2.85,2.18,2.07,1.71,1.51,1.99,
Malta; Data source; Beer,1.87,1.84,1.88,1.9,1.88,1.6,1.68,1.52,1.59,1.47,1.52,1.29,1.36,1.12,1.16,0.89,1.05,0.9,0.91,
Malta; Data source; Wine,0.61,0.99,0.34,1.41,0.33,0.66,0.28,0,0.33,0.81,0.14,0.16,0.12,0.07,0.05,0,0,0,0.47,
Malta; Data source; Spirits,3.23,2.95,2.78,2,2.04,1.79,1.92,1.35,1.35,1.36,1.23,1.1,1.32,1.66,0.97,1.17,0.65,0.61,0.6,
Malta; Data source; Other alcoholic beverages,0.02,0.02,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,
Mauritania; Data source; All types,0.07,0.12,0.11,0.14,0.08,0.12,0.17,0.2,0.11,0.12,0.04,0.05,0.04,0.04,0.07,0.06,0.1,0.12,0.11,
Mauritania; Data source; Beer,0.02,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.04,0.04,0.04,
Mauritania; Data source; Wine,0.03,0.03,0.04,0.05,0.03,0.06,0.06,0.08,0.05,0.05,0.02,0.02,0.02,0.02,0.03,0.03,0.05,0.08,0.07,
Mauritania; Data source; Spirits,0.02,0.04,0.04,0.06,0.03,0.05,0.1,0.11,0.04,0.03,0,0,0,0,0,0,0,0,0,
Mauritania; Data source; Other alcoholic beverages,,,,,,,,,,,,,,,No data,No data,No data,No data,No data,
Mauritius; Data source; All types,4.11,4.47,3.66,3.23,2.98,2.76,2.07,1.96,1.79,1.65,1.69,1.83,2.23,1.99,2.33,2.46,2.75,2.62,2.53,
Mauritius; Data source; Beer,1.02,1.14,1.23,1.08,0.98,0.85,0.7,0.66,0.55,0.49,0.47,0.53,0.61,0.57,0.56,0.69,0.7,0.77,0.76,
Mauritius; Data source; Wine,0.05,0.1,0.12,0.13,0.12,0.15,0.13,0.13,0.09,0.08,0.08,0.08,0.07,0.09,0.14,0.14,0.19,0.17,0.15,
Mauritius; Data source; Spirits,3.04,3.23,2.31,2.02,1.88,1.76,1.24,1.17,1.15,1.08,1.14,1.22,1.55,1.33,1.63,1.63,1.86,1.68,1.62,
Mexico; Data source; All types,4.33,4.04,4.29,4.04,3.87,3.75,3.45,3.29,3.12,3.38,3.46,3.41,3.47,3.14,3.12,2.93,2.6,2.77,2.81,
Mexico; Data source; Beer,3.15,2.89,2.86,2.68,2.78,2.89,2.61,2.34,2.04,2.36,2.33,2.21,2.23,2.18,2.14,2.04,1.74,1.78,1.84,
Mexico; Data source; Wine,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.06,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.19,0.2,
Mexico; Data source; Spirits,1.14,1.1,1.39,1.32,1.05,0.82,0.79,0.89,1.03,0.96,1.09,1.16,1.2,0.91,0.93,0.85,0.81,0.8,0.77,
Micronesia (Federated States of); Data source; All types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Micronesia (Federated States of); Data source; Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Micronesia (Federated States of); Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Micronesia (Federated States of); Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia; Data source; All types,3.68,3.48,3.48,3.13,2.97,2.44,2.04,1.87,1.86,1.7,1.88,1.87,1.86,1.85,1.83,1.59,1.65,1.37,1.28,
Mongolia; Data source; Beer,0.44,0.41,0.41,0.41,0.4,0.39,0.29,0.12,0.11,0.11,0.13,0.13,0.12,0.13,0.12,0.13,0.15,0.14,0.14,
Mongolia; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia; Data source; Spirits,3.25,3.07,3.07,2.72,2.57,2.06,1.75,1.75,1.75,1.58,1.74,1.74,1.73,1.72,1.71,1.46,1.5,1.23,1.13,
Morocco; Data source; All types,0.61,0.79,0.88,0.87,0.88,0.82,0.82,0.83,0.68,0.79,0.76,0.96,0.96,0.78,0.92,0.94,1.08,1.58,1.91,
Morocco; Data source; Beer,0.29,0.3,0.35,0.31,0.34,0.31,0.34,0.32,0.32,0.35,0.3,0.25,0.27,0.3,0.25,0.29,0.22,0.25,0.33,
Morocco; Data source; Wine,0.25,0.36,0.38,0.38,0.38,0.39,0.35,0.39,0.25,0.29,0.29,0.48,0.48,0.21,0.41,0.39,0.58,1.07,1.3,
Morocco; Data source; Spirits,0.07,0.13,0.16,0.18,0.16,0.12,0.13,0.12,0.12,0.15,0.17,0.23,0.21,0.27,0.26,0.26,0.27,0.27,0.28,
Morocco; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mozambique; Data source; All types,0.61,0.61,0.82,0.66,0.84,1.13,1.26,1.42,1.12,1.45,1.62,1.87,1.9,1.97,1.73,1.71,1.49,1.68,1.89,
Mozambique; Data source; Beer,0.32,0.32,0.34,0.43,0.47,0.64,0.67,0.56,0.47,0.42,0.36,0.29,0.25,0.23,0.2,0.23,0.18,0.16,0.15,
Mozambique; Data source; Wine,0.01,0.06,0.05,0.04,0.18,0.24,0.34,0.53,0.47,0.8,0.99,1.18,1.27,1.45,1.37,1.24,1.08,0.95,1.14,
Mozambique; Data source; Spirits,0.29,0.23,0.44,0.19,0.2,0.25,0.25,0.33,0.18,0.23,0.27,0.4,0.38,0.29,0.16,0.24,0.23,0.57,0.6,
Myanmar; Data source; All types,0.2,0.21,0.18,0.19,0.11,0.15,0.41,0.36,0.27,0.34,0.38,0.3,0.34,0.34,0.4,0.3,0.23,0.34,0.25,
Myanmar; Data source; Beer,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
Myanmar; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Myanmar; Data source; Spirits,0.19,0.2,0.18,0.18,0.1,0.15,0.4,0.35,0.26,0.33,0.37,0.29,0.33,0.34,0.39,0.29,0.23,0.33,0.24,
Namibia; Data source; All types,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.19,0.19,0.18,0.17,0.17,0.11,0.12,0.19,
Namibia; Data source; Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Namibia; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Namibia; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Namibia; Data source; Other alcoholic beverages,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.19,0.19,0.18,0.17,0.17,0.11,0.12,0.19,
Nepal; Data source; All types,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nepal; Data source; Beer,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nepal; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nepal; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Netherlands; Data source; All types,11.65,11.25,11.07,10.53,11.41,10.34,9.77,8.76,8.09,7.54,6.9,6.22,5.98,5.24,5.74,4.97,4.63,4.29,3.97,
Netherlands; Data source; Beer,5.52,5.55,5.53,5.57,5.29,5.1,4.98,4.48,4.27,3.95,3.57,3.14,3.08,2.71,2.59,2.45,2.2,1.96,1.88,
Netherlands; Data source; Wine,1.71,1.76,1.7,1.67,1.52,1.54,1.33,1.17,0.93,0.79,0.74,0.65,0.64,0.53,0.52,0.45,0.4,0.42,0.4,
Netherlands; Data source; Spirits,4.42,3.94,3.84,3.29,4.6,3.7,3.46,3.11,2.89,2.8,2.59,2.43,2.26,2,2.63,2.07,2.03,1.91,1.69,
New Zealand; Data source; All types,13.13,13.79,13.25,13.2,13.23,12.98,12.81,12.05,11.75,11.18,10.61,10.39,10.54,10.42,10.08,9.84,9.62,8.89,8.7,
New Zealand; Data source; Beer,8.26,8.98,8.75,8.63,9.17,8.98,9.14,8.88,8.87,8.56,8.21,8.2,8.19,8,7.68,7.6,7.54,6.93,6.71,
New Zealand; Data source; Wine,1.89,1.96,1.61,1.68,1.49,1.58,1.51,1.32,1.19,0.99,0.87,0.73,0.64,0.57,0.5,0.47,0.41,0.38,0.38,
New Zealand; Data source; Spirits,2.96,2.83,2.86,2.88,2.56,2.4,2.14,1.83,1.67,1.6,1.51,1.43,1.67,1.82,1.86,1.75,1.63,1.55,1.58,
New Zealand; Data source; Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
Nicaragua; Data source; All types,2.6,2.78,3.29,3.48,3.57,3.84,4.04,3.96,4.09,4.11,4.09,4.23,4.15,4.08,3.98,4.17,4.06,4.18,4.12,
Nicaragua; Data source; Beer,0.82,0.8,0.87,0.71,0.65,0.68,0.72,0.5,0.58,0.57,0.55,0.69,0.64,0.59,0.67,0.51,0.35,0.38,0.23,
Nicaragua; Data source; Wine,0.01,0.03,0.05,0.05,0.03,0.04,0.04,0.02,0.03,0.02,0.02,0.04,0.01,0.06,0.04,0.03,0.02,0.01,0,
Nicaragua; Data source; Spirits,1.77,1.95,2.37,2.72,2.88,3.11,3.29,3.44,3.48,3.52,3.52,3.5,3.49,3.43,3.26,3.63,3.69,3.8,3.88,
Niger; Data source; All types,0.22,0.29,0.15,0.11,0.13,0.14,0.15,0.13,0.12,0.11,0.13,0.12,0.14,0.09,0.12,0.14,0.17,0.15,0.13,
Niger; Data source; Beer,0.14,0.13,0.1,0.07,0.08,0.08,0.08,0.07,0.06,0.05,0.04,0.04,0.05,0.03,0.03,0.05,0.05,0.03,0.05,
Niger; Data source; Wine,0.04,0.06,0.03,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.06,0.06,0.07,0.06,0.07,0.07,0.1,0.12,0.08,
Niger; Data source; Spirits,0.04,0.1,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0,0,
Nigeria; Data source; All types,8.18,7.75,7.89,7.47,7.04,6.77,6.23,5.08,5.01,4.96,4.25,4.25,4.24,4.22,4.34,4.4,4.37,4.4,4.29,
Nigeria; Data source; Beer,0.62,0.44,0.72,0.6,0.49,0.37,0.34,0.28,0.22,0.18,0.15,0.13,0.11,0.12,0.13,0.14,0.13,0.1,0.07,
Nigeria; Data source; Wine,0,0.03,0.03,0.03,0.02,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0,
Nigeria; Data source; Spirits,0.01,0,0.03,0.01,0.03,0.01,0,0.01,0.01,0,0,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,
Nigeria; Data source; Other alcoholic beverages,7.55,7.28,7.11,6.83,6.51,6.38,5.87,4.79,4.78,4.77,4.09,4.12,4.12,4.08,4.16,4.26,4.23,4.29,4.21,
Norway; Data source; All types,5.83,5.41,5.93,5.84,5.87,5.74,5.4,5.3,5.07,4.84,4.58,4.39,4.15,3.96,3.84,3.7,3.74,3.64,3.74,
Norway; Data source; Beer,2.96,2.98,2.96,2.92,2.98,2.89,2.77,2.72,2.59,2.44,2.3,2.15,1.99,1.91,1.85,1.77,1.78,1.67,1.75,
Norway; Data source; Wine,0.53,0.41,0.49,0.47,0.48,0.46,0.44,0.39,0.38,0.33,0.32,0.29,0.28,0.25,0.22,0.21,0.21,0.21,0.21,
Norway; Data source; Spirits,2.34,2.02,2.48,2.45,2.41,2.39,2.19,2.19,2.1,2.07,1.96,1.95,1.88,1.8,1.77,1.72,1.79,1.76,1.78,
Oman; Data source; All types,0.45,0.41,0.31,0.35,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oman; Data source; Beer,0.45,0.41,0.31,0.35,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oman; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oman; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pakistan; Data source; All types,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,
Pakistan; Data source; Beer,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
Pakistan; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pakistan; Data source; Spirits,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,0,
Panama; Data source; All types,4.88,4.59,4.17,4.68,4.72,4.55,4.34,3.7,4.62,4.44,4.39,3.89,3.89,3.75,3.67,3.32,3.16,3.84,3.42,
Panama; Data source; Beer,2.25,1.8,1.53,1.92,1.94,1.86,1.7,1.43,1.96,1.95,1.94,1.75,1.87,1.84,1.8,1.74,1.77,1.64,1.59,
Panama; Data source; Wine,0.12,0.14,0.13,0.1,0.1,0.11,0.11,0.09,0.1,0.09,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.08,0.08,
Panama; Data source; Spirits,2.51,2.64,2.51,2.66,2.68,2.57,2.52,2.18,2.55,2.39,2.36,2.07,1.96,1.83,1.8,1.51,1.33,2.12,1.74,
Panama; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Papua New Guinea; Data source; All types,1.54,1.61,1.56,1.33,1.41,1.21,1.13,1.17,1.25,0.99,0.77,0.7,0.66,0.56,0.52,0.5,0.37,0.3,0.29,
Papua New Guinea; Data source; Beer,1.34,1.4,1.35,1.12,1.12,0.97,0.82,0.8,0.87,0.67,0.5,0.45,0.42,0.33,0.28,0.28,0.25,0.18,0.18,
Papua New Guinea; Data source; Wine,0.05,0.05,0.05,0.05,0.07,0.06,0.1,0.11,0.1,0.08,0.07,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.01,
