Country; Data Source; Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2015,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2014,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2013,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2012,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2011,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2010,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2009,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2008,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2007,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2006,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2005,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2004,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2003,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2002,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2001,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 2000
Hungary; Data source; Beer,,,3.79,4.08,4.05,3.91,4.26,4.28,4.58,4.38,4.3,4.34,4.47,4.34,4.25,4.3
Hungary; Data source; Wine,,,3.35,3.33,3.65,3.17,3.21,3.25,3.85,4.53,4.5,4.66,4.6,4.89,4.86,4.08
Hungary; Data source; Spirits,,,3.75,3.87,3.81,3.7,3.99,4.11,4.12,4.25,4.14,4.27,4.17,4.06,4.07,3.84
Hungary; Data source; Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland; Data source; All types,,7.45,7.31,7.81,8.13,8.25,10.22,8.49,7.53,7.2,7.05,6.79,6.61,6.61,6.37,6.17
Iceland; Data source; Beer,,4.59,4.43,4.62,4.89,4.98,5.53,4.65,3.95,3.78,3.67,3.49,3.35,3.29,3.12,3.03
Iceland; Data source; Wine,,2.03,2.04,2.3,2.32,2.26,3.47,2.42,2.04,1.97,1.95,1.91,1.79,1.67,1.52,1.38
Iceland; Data source; Spirits,,0.72,0.74,0.77,0.8,0.87,1.06,1.2,1.46,1.36,1.33,1.31,1.39,1.58,1.68,1.73
Iceland; Data source; Other alcoholic beverages,,0.1,0.11,0.11,0.12,0.13,0.16,0.22,0.08,0.09,0.1,0.08,0.08,0.07,0.05,0.03
India; Data source; All types,,3.07,3.11,3.1,3,2.77,2.5,1.93,1.59,1.37,1.27,1.2,1.19,1.1,1,0.93
India; Data source; Beer,,0.21,0.21,0.19,0.18,0.17,0.15,0.14,0.13,0.11,0.09,0.08,0.08,0.07,0.07,0.07
India; Data source; Wine,,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0
India; Data source; Spirits,,2.86,2.89,2.91,2.82,2.6,2.35,1.79,1.45,1.25,1.17,1.11,1.1,1.01,0.92,0.87
India; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia; Data source; All types,,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06
Indonesia; Data source; Beer,,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06
Indonesia; Data source; Wine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia; Data source; Spirits,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0
Indonesia; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran (Islamic Republic of); Data source; All types,,,,,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0
Iran (Islamic Republic of); Data source; Beer,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Iran (Islamic Republic of); Data source; Wine,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Iran (Islamic Republic of); Data source; Spirits,,,,,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0
Iran (Islamic Republic of); Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Iraq; Data source; All types,,,,,0.17,0.19,0.2,0.17,0.14,0.03,0.18,0.32,0.07,0.15,0.17,0.2
Iraq; Data source; Beer,,,,,0.12,0.14,0.15,0.13,0.11,0,0.15,0.3,0.06,0.14,0.16,0.2
Iraq; Data source; Wine,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Iraq; Data source; Spirits,,,,,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0,0
Iraq; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Ireland; Data source; All types,,10.75,10.49,11.49,11.72,11.88,11.41,12.66,13.59,13.44,13.31,13.32,13.24,14.17,14.27,14.07
Ireland; Data source; Beer,,5.13,4.99,5.37,5.5,5.73,5.84,6.31,6.74,6.87,6.99,7.1,7.31,7.67,7.88,8.01
Ireland; Data source; Wine,,2.8,2.64,2.93,3.02,2.98,2.58,2.8,2.93,2.77,2.62,2.57,2.29,2.17,1.97,1.79
Ireland; Data source; Spirits,,1.97,2.01,2.3,2.27,2.22,2.01,2.5,2.73,2.58,2.5,2.48,2.46,3.15,3.06,3.02
Ireland; Data source; Other alcoholic beverages,,0.85,0.86,0.89,0.93,0.94,0.98,1.05,1.2,1.22,1.2,1.17,1.17,1.18,1.36,1.25
Israel; Data source; All types,,2.62,2.69,2.78,2.67,2.63,2.55,2.47,2.33,2.23,2.41,2.23,2.32,2.47,2.53,2.53
Israel; Data source; Beer,,1.34,1.29,1.28,1.22,1.15,1.05,1.02,0.97,0.78,0.88,0.76,0.79,0.92,1.05,1.12
Israel; Data source; Wine,,0.17,0.13,0.18,0.18,0.18,0.18,0.21,0.17,0.18,0.22,0.17,0.17,0.22,0.19,0.25
Israel; Data source; Spirits,,1.07,1.23,1.26,1.22,1.24,1.27,1.19,1.15,1.21,1.27,1.24,1.36,1.32,1.29,1.16
Israel; Data source; Other alcoholic beverages,,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0,0,0,0
Italy; Data source; All types,,7.56,7.35,7.49,6.98,6.95,7.25,7.96,8.37,8.44,8.65,8.98,9.3,9.25,9.69,9.78
Italy; Data source; Beer,,1.73,1.7,1.7,1.69,1.66,1.63,1.71,1.81,1.76,1.73,1.72,1.75,1.64,1.69,1.64
Italy; Data source; Wine,,4.97,4.86,4.99,4.45,4.45,4.79,5.41,5.72,5.7,5.85,6.19,6.47,6.54,6.93,7.06
Italy; Data source; Spirits,,0.86,0.79,0.79,0.84,0.84,0.84,0.84,0.84,0.98,1.07,1.07,1.07,1.07,1.07,1.07
Italy; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica; Data source; All types,,3.83,3.79,3.65,3.58,3.55,3.33,3.51,3.64,3.63,3.59,3.67,3.48,3.76,3.89,3.46
Jamaica; Data source; Beer,,1.42,1.39,1.35,1.35,1.33,1.39,1.63,1.65,1.56,1.5,1.55,1.56,1.74,1.81,1.64
Jamaica; Data source; Wine,,0.16,0.16,0.15,0.13,0.17,0.14,0.14,0.18,0.15,0.11,0.14,0.09,0.12,0.12,0.1
Jamaica; Data source; Spirits,,1.93,1.96,1.88,1.85,1.79,1.52,1.43,1.51,1.6,1.66,1.66,1.83,1.9,1.95,1.71
Jamaica; Data source; Other alcoholic beverages,,0.32,0.28,0.27,0.26,0.26,0.28,0.31,0.3,0.32,0.32,0.33,0,0,0,0
Japan; Data source; All types,,,7.55,7.39,7.39,6.9,7.09,7.11,7.29,7.49,7.99,7.7,7.83,7.87,8.03,7.97
Japan; Data source; Beer,,,1.39,1.37,1.39,1.33,1.39,1.48,1.63,1.67,1.72,1.75,1.81,1.97,2.21,2.5
Japan; Data source; Wine,,,0.39,0.37,0.33,0.28,0.27,0.26,0.25,0.26,0.29,0.31,0.27,0.28,0.28,0.29
Japan; Data source; Spirits,,,4.29,4.13,4.09,3.76,3.77,3.55,3.41,3.37,3.37,3.42,3.34,3.14,3.05,2.94
Japan; Data source; Other alcoholic beverages,,,1.49,1.51,1.59,1.53,1.66,1.82,2,2.19,2.61,2.22,2.42,2.48,2.48,2.23
Jordan; Data source; All types,,0.41,0.4,0.41,0.43,0.51,0.59,0.61,0.6,0.59,0.55,0.54,0.54,0.54,0.55,0.49
Jordan; Data source; Beer,,0.06,0.05,0.05,0.04,0.1,0.19,0.19,0.18,0.18,0.16,0.15,0.13,0.14,0.15,0.07
Jordan; Data source; Wine,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01
Jordan; Data source; Spirits,,0.33,0.33,0.34,0.36,0.39,0.38,0.4,0.39,0.39,0.36,0.37,0.39,0.39,0.39,0.41
Jordan; Data source; Other alcoholic beverages,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0
Kazakhstan; Data source; All types,,6.29,6.48,6.82,6.63,6.83,6.64,7.6,7.44,7.08,6.94,6.55,6.58,5.99,5.75,6
Kazakhstan; Data source; Beer,,1.87,2,2.06,1.93,2.11,1.93,2.88,2.59,2.22,1.92,1.52,1.37,1.16,0.99,0.85
Kazakhstan; Data source; Wine,,0.35,0.33,0.45,0.4,0.37,0.35,0.27,0.33,0.35,0.48,0.4,0.53,0.29,0.18,0.35
Kazakhstan; Data source; Spirits,,4.07,4.14,4.3,4.29,4.35,4.35,4.45,4.51,4.51,4.54,4.62,4.67,4.53,4.58,4.8
Kazakhstan; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya;  ; Beer,,,,,,,,,,,,,,,,0.7
Kenya; Data source; All types,,,1.84,1.81,1.8,1.73,1.86,1.71,1.97,1.76,1.82,1.43,1.49,1.66,1.63,1.51
Kenya; Data source; Beer,,,0.91,0.95,0.91,0.96,1.04,1.05,0.94,0.81,0.84,0.65,0.55,0.66,0.67,0.65
Kenya; Data source; Wine,,,0.04,0.03,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01
Kenya; Data source; Spirits,,,0.39,0.43,0.44,0.4,0.41,0.44,0.43,0.44,0.46,0.49,0.47,0.53,0.54,0.53
Kenya; Data source; Other alcoholic beverages,,,0.5,0.41,0.42,0.34,0.4,0.2,0.57,0.48,0.5,0.28,0.45,0.45,0.4,0.32
Kiribati; Data source; All types,,,,,0.53,0.48,0.54,0.46,0.68,0.76,0.6,0.48,0.5,0.49,0.6,0.46
Kiribati; Data source; Beer,,,,,0.43,0.44,0.47,0.42,0.49,0.63,0.56,0.43,0.4,0.45,0.42,0.39
Kiribati; Data source; Wine,,,,,0.03,0.03,0.02,0.02,0.16,0.1,0.01,0,0,0,0.01,0.02
Kiribati; Data source; Spirits,,,,,0.08,0,0.05,0.02,0.03,0.03,0.02,0.03,0.02,0.04,0.17,0.05
Kiribati; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0.01,0.01,0,0,0,0
Kuwait; Data source; All types,,,,,0.02,0.01,0.1,0.03,0.03,0.01,0.01,0.02,0.03,0.01,0.01,0.01
Kuwait; Data source; Beer,,,,,0.01,0,0.09,0.02,0.01,0,0,0,0.02,0,0,0
Kuwait; Data source; Wine,,,,,0,0,0,0,0,0,0,0.01,0,0,0,0
Kuwait; Data source; Spirits,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Kuwait; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan; Data source; All types,,,,,3.28,2.73,2.39,2.53,2.77,2.48,2.81,3.41,3.52,3.31,2.62,2.13
Kyrgyzstan; Data source; Beer,,,,,0.68,0.63,0.56,0.64,0.76,0.61,0.64,0.59,0.36,0.26,0.25,0.26
Kyrgyzstan; Data source; Wine,,,,,0.09,0.1,0.1,0.09,0.09,0.09,0.08,0.11,0.1,0.07,0.09,0.09
Kyrgyzstan; Data source; Spirits,,,,,2.5,2,1.72,1.79,1.91,1.77,2.08,2.7,3.03,2.94,2.25,1.76
Kyrgyzstan; Data source; Other alcoholic beverages,,,,,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.02
Lao People's Democratic Republic; Data source; All types,,,,,5.39,5.95,5.18,5.1,5,3.69,3.68,3.53,3.41,3.33,3.13,5.16
Lao People's Democratic Republic; Data source; Beer,,,,,2.55,2.39,2.15,2.02,1.74,1.49,1.4,1.22,1.11,1.01,0.93,0.84
Lao People's Democratic Republic; Data source; Wine,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.02
Lao People's Democratic Republic; Data source; Spirits,,,,,2.84,3.56,3.03,3.08,3.26,2.2,2.27,2.31,2.3,2.32,2.18,4.3
Lao People's Democratic Republic; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Latvia; Data source; All types,,,10.37,10.21,10.14,9.8,9.85,11.84,12.12,10.4,9.92,8.81,8.24,7.44,6.68,7.13
Latvia; Data source; Beer,,,4.67,4.67,4.89,4.57,4.35,4.12,4.15,4.09,3.8,3.69,2.97,2.74,2.12,1.97
Latvia; Data source; Wine,,,1.1,1.16,1.1,1.1,1.03,1.13,1.18,1.06,0.94,0.95,1.78,1.5,1.38,1.6
Latvia; Data source; Spirits,,,4,3.77,3.59,3.61,3.94,5.8,5.91,4.48,4.57,3.74,3.33,3.04,3.04,3.45
Latvia; Data source; Other alcoholic beverages,,,0.6,0.6,0.56,0.52,0.53,0.79,0.88,0.78,0.6,0.43,0.16,0.16,0.14,0.11
Lebanon; Data source; All types,,1.32,1.29,1.53,1.57,1.58,1.62,1.67,1.72,1.82,1.94,2.1,2.19,1.98,2.19,2.26
Lebanon; Data source; Beer,,0.39,0.32,0.33,0.35,0.41,0.39,0.39,0.39,0.38,0.41,0.45,0.44,0.44,0.44,0.44
Lebanon; Data source; Wine,,0.16,0.17,0.35,0.31,0.25,0.32,0.42,0.52,0.66,0.77,0.82,0.85,0.59,0.64,0.7
Lebanon; Data source; Spirits,,0.74,0.79,0.83,0.89,0.9,0.89,0.85,0.79,0.76,0.75,0.82,0.89,0.95,1.11,1.12
Lebanon; Data source; Other alcoholic beverages,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0
Lesotho; Data source; All types,,,,,0.61,0.86,0.83,0.83,0.83,0.88,0.49,0.62,1.12,0.89,2.86,3.1
Lesotho; Data source; Beer,,,,,2.39,2.71,2.75,2.75,2.69,2.61,2.67,1.8,1.99,2.95,2.86,1.54
Lesotho; Data source; Wine,,,,,1.5,1.49,1.33,1.35,1.3,1.23,1.26,1.31,1.37,1.48,1.57,0.04
Lesotho; Data source; Spirits,,,,,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.04,0.37
Lesotho; Data source; Other alcoholic beverages,,,,,0.6,0.61,0.55,0.56,0.55,0.54,0.53,0,0,0.35,0.36,1.15
Liberia; Data source; All types,,,,,0.01,0,0,0,0,0,0,0,0,0,0,0.29
Liberia; Data source; Beer,,,,,3.72,3.64,3.75,3.88,4.03,4.05,4.19,4.24,4.21,4.27,4.4,4.46
Liberia; Data source; Wine,,,,,0.49,0.33,0.34,0.34,0.34,0.3,0.29,0.25,0.15,0.15,0.17,0.17
Liberia; Data source; Spirits,,,,,0.05,0.03,0.01,0.01,0.01,0,0,0,0,0,0,0
Liberia; Data source; Other alcoholic beverages,,,,,3.18,3.28,3.4,3.54,3.68,3.75,3.89,3.99,4.07,4.12,4.23,4.29
Libya; Data source; All types,,,,,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01
Libya; Data source; Beer,,,,,0,0,0.01,0,0,0.01,0,0,0,0,0,0
Libya; Data source; Wine,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Libya; Data source; Spirits,,,,,0,0,0.01,0.01,0,0,0,0.01,0.01,0,0,0.01
Libya; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania; Data source; All types,,15.19,15.04,15.14,12.66,12.9,12.4,13.3,13.4,12.7,12.3,12.1,11.29,11,10.2,9.87
Lithuania; Data source; Beer,,5.46,5.26,5.6,5.43,6,5.4,5.4,5.6,6,5.8,4.62,4.58,4.66,4,3.78
Lithuania; Data source; Wine,,1.5,1.48,1.44,1.04,1,0.9,0.9,0.9,1.4,1.4,2.37,2.24,2.06,1.89,2.1
Lithuania; Data source; Spirits,,5.79,5.72,5.62,4.21,4.4,4.6,5.5,5.3,4.5,4.5,4.31,3.71,3.59,3.67,3.3
Lithuania; Data source; Other alcoholic beverages,,2.44,2.58,2.47,1.97,1.5,1.5,1.5,1.6,0.8,0.6,0.79,0.76,0.69,0.64,0.69
Luxembourg; Data source; All types,,11.12,11.02,11.34,11.5,11.36,11.42,11.53,11.75,11.98,11.84,12.42,12.61,12.91,12.89,13.14
Luxembourg; Data source; Beer,,4.08,3.8,4.02,4.02,4.11,4.17,4.17,4.29,4.46,4.36,4.27,4.36,4.46,4.43,4.62
Luxembourg; Data source; Wine,,4.75,4.79,4.95,5.05,4.86,4.86,4.92,5.07,5.06,5.07,5.58,5.75,5.86,5.81,5.88
Luxembourg; Data source; Spirits,,2.28,2.28,2.28,2.33,2.39,2.39,2.44,2.4,2.46,2.41,2.58,2.5,2.59,2.66,2.64
Luxembourg; Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar; Data source; All types,,,0.87,0.87,0.97,1.03,0.91,0.68,0.71,0.68,0.72,0.81,0.93,0.9,1.05,1.16
Madagascar; Data source; Beer,,,0.42,0.45,0.5,0.53,0.4,0.37,0.38,0.34,0.34,0.36,0.38,0.28,0.41,0.4
Madagascar; Data source; Wine,,,0.1,0.1,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.13,0.22,0.22,0.12,0.13
Madagascar; Data source; Spirits,,,0.34,0.31,0.3,0.33,0.34,0.14,0.16,0.17,0.23,0.32,0.33,0.4,0.52,0.64
Madagascar; Data source; Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi; Data source; All types,,,,,1.23,1.08,1.16,1.27,1.18,1.18,1.04,1.11,1.08,1.1,1.15,1.18
Malawi; Data source; Beer,,,,,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16
Malawi; Data source; Wine,,,,,0.02,0.02,0.02,0.15,0,0.01,0.01,0.01,0.02,0.01,0.01,0
Malawi; Data source; Spirits,,,,,0.16,0.17,0.2,0.15,0.19,0.22,0.22,0.28,0.24,0.25,0.27,0.29
Malawi; Data source; Other alcoholic beverages,,,,,0.9,0.74,0.79,0.83,0.85,0.82,0.67,0.68,0.68,0.69,0.71,0.74
Malaysia; Data source; All types,,0.52,0.53,0.53,0.51,0.49,0.47,0.47,0.43,0.42,0.46,0.49,0.48,0.49,0.53,0.54
Malaysia; Data source; Beer,,0.39,0.4,0.41,0.39,0.38,0.37,0.37,0.34,0.34,0.38,0.41,0.4,0.41,0.41,0.45
Malaysia; Data source; Wine,,0.01,0.01,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0.04,0.02
Malaysia; Data source; Spirits,,0.11,0.12,0.12,0.11,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Malaysia; Data source; Other alcoholic beverages,,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0
Maldives; Data source; All types,,,,,1.92,1.83,1.59,1.76,1.78,1.62,1.47,1.6,1.75,1.95,1.98,1.83
Maldives; Data source; Beer,,,,,0.5,0.5,0.46,0.54,0.56,0.53,0.4,0.56,0.48,0.42,0.44,0.5
Maldives; Data source; Wine,,,,,0.54,0.46,0.33,0.37,0.37,0.29,0.31,0.36,0.34,0.19,0.15,0.04
Maldives; Data source; Spirits,,,,,0.88,0.88,0.8,0.86,0.85,0.79,0.77,0.68,0.93,1.34,1.38,1.29
Maldives; Data source; Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Mali; Data source; All types,,,,,0.61,0.6,0.59,0.57,0.55,0.53,0.55,0.49,0.54,0.53,0.51,0.47
Mali; Data source; Beer,,,,,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Mali; Data source; Wine,,,,,0.01,0.01,0,0,0,0,0,0,0.01,0.05,0.02,0.01
Mali; Data source; Spirits,,,,,0.02,0.02,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0
Mali; Data source; Other alcoholic beverages,,,,,0.5,0.5,0.49,0.48,0.46,0.45,0.47,0.41,0.46,0.4,0.4,0.39
Malta; Data source; All types,,8.49,8.58,7.67,6.91,7.91,7.38,7.14,7.45,8.84,6.41,6.53,6.7,5.73,5.62,5.59
Malta; Data source; Beer,,2.88,2.9,3.07,2.58,2.89,2.71,2.66,2.37,2.15,1.7,1.86,1.83,2.61,2.72,2.83
Malta; Data source; Wine,,3.25,3.26,2.4,2.28,3.1,2.91,2.72,3.25,4.9,2.96,3.01,3.08,1.29,1.15,0.97
Malta; Data source; Spirits,,1.99,2.06,1.87,1.75,1.62,1.46,1.44,1.51,1.49,1.47,1.42,1.77,1.8,1.75,1.78
Malta; Data source; Other alcoholic beverages,,0.37,0.37,0.33,0.31,0.3,0.3,0.32,0.33,0.3,0.28,0.24,0.02,0.02,0,0
Marshall Islands;  ; All types,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
Marshall Islands;  ; Beer,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands;  ; Wine,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands;  ; Spirits,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands;  ; Other alcoholic beverages,,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands; Data source; All types,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands; Data source; Beer,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands; Data source; Wine,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands; Data source; Spirits,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands; Data source; Other alcoholic beverages,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Mauritania; Data source; All types,,,,,0.01,0.01,0,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.03
Mauritania; Data source; Beer,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania; Data source; Wine,,,,,0,0,0,0,0,0,0,0,0,0,0,0.01
Mauritania; Data source; Spirits,,,,,0,0,0,0.01,0.02,0.01,0.01,0.01,0,0.01,0.01,0.02
Mauritania; Data source; Other alcoholic beverages,,,,,0.01,0,0,0,0,0,0,0,0,0,0,0
Mauritius; Data source; All types,,,,,3.03,2.95,2.83,2.49,3.24,3.73,3.94,4.16,4.08,4.14,4.38,4.6
Mauritius; Data source; Beer,,,,,1.85,1.81,1.98,1.57,1.79,1.81,1.96,1.99,2,1.92,2.15,2.21
Mauritius; Data source; Wine,,,,,0.3,0.35,0.26,0.35,0.32,0.3,0.31,0.3,0.27,0.42,0.26,0.29
Mauritius; Data source; Spirits,,,,,0.87,0.79,0.58,0.56,1.12,1.61,1.66,1.87,1.8,1.79,1.96,2.1
Mauritius; Data source; Other alcoholic beverages,,,,,0,0.01,0,0,0,0,0,0,0,0,0,0
Mexico; Data source; All types,,5.26,5.23,5.29,5.3,5.21,5.27,5.36,5.35,5.11,4.93,4.9,4.88,4.77,4.86,4.99
Mexico; Data source; Beer,,3.87,3.85,4,4,3.92,4.04,4.09,4.09,3.94,3.81,3.71,3.68,3.6,3.65,3.67
Mexico; Data source; Wine,,0.23,0.22,0.12,0.12,0.12,0.12,0.12,0.12,0.09,0.09,0.11,0.11,0.07,0.06,0.06
Mexico; Data source; Spirits,,1.12,1.11,1.13,1.13,1.12,1.06,1.1,1.08,1.03,0.98,1.03,1.06,1.07,1.12,1.23
Mexico; Data source; Other alcoholic beverages,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03
Micronesia (Federated States of);  ; Beer,,,,,,,,,,,,,,,,2.14
Micronesia (Federated States of); Data source; All types,,1.58,1.67,2.98,1.89,1.76,2.06,1.97,1.64,1.73,1.9,2.02,3.15,2.78,2.82,2.23
Micronesia (Federated States of); Data source; Beer,,0.92,0.89,1.03,0.9,0.86,1.18,1.03,0.72,0.71,1.49,1.69,3.04,2.67,2.74,2.14
Micronesia (Federated States of); Data source; Wine,,0.14,0.27,1.39,0.47,0.31,0.03,0.18,0.14,0.09,0.16,0.19,0.04,0.04,0.02,0.01
Micronesia (Federated States of); Data source; Spirits,,0.52,0.51,0.56,0.51,0.6,0.85,0.76,0.78,0.94,0.25,0.14,0.06,0.07,0.07,0.07
Micronesia (Federated States of); Data source; Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco;  ; All types,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
Monaco;  ; Beer,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Monaco;  ; Wine,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Monaco;  ; Spirits,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Monaco;  ; Other alcoholic beverages,,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Monaco; Data source; All types,,,,,,,,,,,,,,,,No data
Monaco; Data source; Other alcoholic beverages,,,,,,No data,,,,,,,,,,
Mongolia; Data source; All types,,,,,,5.8,4.61,4.26,3.79,2.91,2.75,1.75,1.31,2.43,2.87,2.79
Mongolia; Data source; Beer,,,,,,1.6,1.1,0.9,0.9,0.5,0.3,0.53,0.13,0.51,0.53,0.61
Mongolia; Data source; Wine,,,,,,0.16,0.11,0.22,0.28,0.15,0.05,0.71,0.7,0.76,0.05,0.08
Mongolia; Data source; Spirits,,,,,,4.04,3.4,3.14,2.61,2.26,2.4,0.51,0.47,1.15,2.29,2.1
Mongolia; Data source; Other alcoholic beverages,,,,,,0,0,0,0,0,0,0,0,0,0,0
Montenegro;  ; All types,,,,,,,,,,,No data,,,,,
Montenegro;  ; Beer,,,,,,,,,,,No data,,,,,
Montenegro;  ; Wine,,,,,,,,,,,No data,,,,,
Montenegro;  ; Spirits,,,,,,,,,,,No data,,,,,
Montenegro;  ; Other alcoholic beverages,,,,,,,,,,,No data,,,,,
Montenegro; Data source; All types,,,,,6.56,6.56,6.45,6.17,4.98,5.38,No data,,,,,
Montenegro; Data source; Beer,,,,,0.72,0.73,0.7,0.7,0.48,0.02,,,,,,
Montenegro; Data source; Wine,,,,,3.18,3.22,3.22,2.93,1.95,2.85,,,,,,
Montenegro; Data source; Spirits,,,,,2.54,2.47,2.37,2.37,2.35,2.3,,,,,,
Montenegro; Data source; Other alcoholic beverages,,,,,0.12,0.14,0.15,0.16,0.21,0.2,,,,,,
Morocco; Data source; All types,,0.43,0.45,0.55,0.54,0.56,0.62,0.51,0.56,0.58,0.47,0.56,0.58,0.46,0.46,0.45
Morocco; Data source; Beer,,0.16,0.18,0.18,0.19,0.2,0.23,0.24,0.22,0.22,0.23,0.23,0.22,0.24,0.23,0.21
